Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Prob Mov00,Prob Mov01,Prob Mov02,Prob Mov03,Prob Mov04
-0.7099,-0.0227,8.8909,-0.0045,0.0019,0.0354,27.4271,Mov00,Mov00,0.973204,0.007417,0.007921,0.005888,0.00557
-0.7063,-0.0263,8.9016,-0.0048,0.0013,0.036,27.43,Mov00,Mov00,0.973543,0.007258,0.0078,0.005832,0.005567
-0.7099,-0.0275,8.904,-0.0043,0.0019,0.0357,27.4212,Mov00,Mov00,0.973637,0.007308,0.007776,0.005797,0.005481
-0.7123,-0.0287,8.9196,-0.004,0.0016,0.0354,27.4153,Mov00,Mov00,0.973885,0.007253,0.007706,0.005739,0.005416
-0.7123,-0.0299,8.9052,-0.004,0.0019,0.0352,27.4241,Mov00,Mov00,0.973533,0.007386,0.00781,0.005807,0.005465
-0.7171,-0.0251,8.8992,-0.004,0.0016,0.0354,27.4241,Mov00,Mov00,0.973609,0.007318,0.007794,0.005815,0.005464
-0.7183,-0.0299,8.9028,-0.004,0.0016,0.0354,27.4212,Mov00,Mov00,0.973663,0.007316,0.007765,0.005805,0.005451
-0.7123,-0.0287,8.8981,-0.004,0.0021,0.0354,27.4212,Mov00,Mov00,0.973524,0.007387,0.007811,0.005814,0.005465
-0.7147,-0.0299,8.8992,-0.0043,0.0019,0.0357,27.4212,Mov00,Mov00,0.973578,0.007331,0.007786,0.005821,0.005484
-0.7159,-0.0311,8.9064,-0.004,0.0019,0.0357,27.4182,Mov00,Mov00,0.9738,0.007284,0.007718,0.005772,0.005426
-0.7195,-0.0299,8.8945,-0.004,0.0013,0.036,27.4212,Mov00,Mov00,0.973827,0.007222,0.007704,0.005797,0.00545
-0.7195,-0.0347,8.8992,-0.004,0.0019,0.0357,27.4212,Mov00,Mov00,0.973708,0.007319,0.007734,0.005802,0.005438
-0.7207,-0.0359,8.904,-0.004,0.0019,0.0354,27.4124,Mov00,Mov00,0.973652,0.007353,0.007753,0.005806,0.005436
-0.7135,-0.0323,8.9028,-0.0043,0.0021,0.0352,27.4182,Mov00,Mov00,0.973347,0.00745,0.007859,0.005845,0.005499
-0.7099,-0.0323,8.91,-0.0043,0.0019,0.0352,27.4124,Mov00,Mov00,0.973475,0.007398,0.007822,0.005814,0.005492
-0.7099,-0.0323,8.9136,-0.0043,0.0019,0.0354,27.4094,Mov00,Mov00,0.973649,0.007334,0.007766,0.005783,0.005468
-0.7159,-0.0347,8.9232,-0.0045,0.0016,0.0357,27.4124,Mov00,Mov00,0.973822,0.00725,0.007704,0.005768,0.005456
-0.7195,-0.0347,8.9172,-0.0043,0.0013,0.0354,27.4153,Mov00,Mov00,0.973775,0.007271,0.007721,0.005784,0.00545
-0.7135,-0.0299,8.9148,-0.0043,0.0011,0.0349,27.4212,Mov00,Mov00,0.973519,0.007341,0.007819,0.005818,0.005503
-0.7135,-0.0287,8.9088,-0.0037,0.0013,0.0354,27.4182,Mov00,Mov00,0.973892,0.007244,0.0077,0.005749,0.005414
-0.7111,-0.0287,8.9112,-0.0037,0.0013,0.0354,27.4212,Mov00,Mov00,0.973923,0.007236,0.007692,0.005737,0.005413
-0.7135,-0.0371,8.9064,-0.0037,0.0013,0.0357,27.4153,Mov00,Mov00,0.973986,0.007225,0.007644,0.005738,0.005407
-0.7075,-0.0347,8.9124,-0.0037,0.0011,0.0357,27.4124,Mov00,Mov00,0.974092,0.007173,0.00762,0.005707,0.005408
-0.7087,-0.0335,8.9088,-0.0037,0.0011,0.0357,27.4182,Mov00,Mov00,0.974044,0.007183,0.007636,0.005721,0.005416
-0.7195,-0.0383,8.9076,-0.0037,0.0013,0.0357,27.4182,Mov00,Mov00,0.97401,0.007222,0.007634,0.005744,0.005391
-0.7111,-0.0323,8.9088,-0.004,0.0016,0.0357,27.4241,Mov00,Mov00,0.973861,0.007254,0.007696,0.005755,0.005435
-0.7183,-0.0299,8.904,-0.0043,0.0016,0.0357,27.4182,Mov00,Mov00,0.97368,0.007285,0.007755,0.00581,0.005469
-0.7195,-0.0347,8.9028,-0.0045,0.0019,0.0357,27.4182,Mov00,Mov00,0.973513,0.00735,0.007792,0.005844,0.0055
-0.723,-0.0323,8.9232,-0.0043,0.0027,0.0352,27.3741,Mov00,Mov00,0.973574,0.007424,0.007798,0.005795,0.005409
-0.7111,-0.0299,8.8873,-0.0032,0.0016,0.0352,27.3741,Mov00,Mov00,0.973682,0.007359,0.00776,0.005782,0.005416
-0.7063,-0.0383,8.8801,-0.0037,0.0016,0.0357,27.3741,Mov00,Mov00,0.973585,0.007355,0.007755,0.005815,0.00549
-0.7039,-0.0359,8.8933,-0.004,0.0005,0.0357,27.3712,Mov00,Mov00,0.97377,0.007217,0.007706,0.005789,0.005518
-0.7123,-0.0299,8.9064,-0.0045,0.0019,0.0352,27.3741,Mov00,Mov00,0.973304,0.007427,0.007879,0.005857,0.005534
-0.7159,-0.0275,8.91,-0.004,0.0011,0.0352,27.3712,Mov00,Mov00,0.973699,0.00728,0.007766,0.005793,0.005462
-0.7147,-0.0227,8.91,-0.004,0.0011,0.0349,27.3712,Mov00,Mov00,0.973572,0.007318,0.007822,0.005809,0.005479
-0.7183,-0.0287,8.8957,-0.004,0.0019,0.0352,27.3741,Mov00,Mov00,0.973406,0.007416,0.007849,0.005849,0.005479
-0.7147,-0.0287,8.8873,-0.0045,0.0019,0.0354,27.3682,Mov00,Mov00,0.973163,0.007445,0.007915,0.005908,0.005569
-0.7075,-0.0299,8.8921,-0.004,0.0021,0.0354,27.3712,Mov00,Mov00,0.973436,0.007414,0.007832,0.005826,0.005492
-0.7051,-0.0371,8.8885,-0.004,0.0024,0.0354,27.3682,Mov00,Mov00,0.973354,0.007474,0.007836,0.005835,0.0055
-0.7087,-0.0419,8.8969,-0.0037,0.0021,0.0357,27.3712,Mov00,Mov00,0.973756,0.007354,0.007699,0.005766,0.005425
-0.7135,-0.0455,8.9004,-0.004,0.0019,0.036,27.3682,Mov00,Mov00,0.973846,0.007295,0.007658,0.005769,0.005433
-0.7147,-0.0431,8.8957,-0.004,0.0016,0.036,27.3682,Mov00,Mov00,0.973813,0.00728,0.007672,0.005785,0.00545
-0.7123,-0.0419,8.9028,-0.0043,0.0013,0.0357,27.3682,Mov00,Mov00,0.973696,0.007296,0.007716,0.005802,0.005491
-0.7195,-0.0347,8.8957,-0.004,0.0013,0.0357,27.3741,Mov00,Mov00,0.973723,0.007279,0.007726,0.005811,0.00546
-0.729,-0.0431,8.8837,-0.004,0.0013,0.0354,27.3771,Mov00,Mov00,0.973449,0.007391,0.007786,0.005885,0.005488
-0.723,-0.0371,8.8849,-0.004,0.0013,0.0354,27.3712,Mov00,Mov00,0.973456,0.007373,0.007801,0.005872,0.005497
-0.7159,-0.0287,8.8945,-0.0043,0.0016,0.0357,27.3771,Mov00,Mov00,0.973545,0.007318,0.007797,0.005838,0.005502
-0.7159,-0.0299,8.8897,-0.0043,0.0016,0.0357,27.3712,Mov00,Mov00,0.973479,0.007339,0.007812,0.005854,0.005515
-0.7075,-0.0287,8.8981,-0.0045,0.0019,0.0357,27.3682,Mov00,Mov00,0.97343,0.007357,0.007833,0.00584,0.005539
