Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Clase Real,Clase Predecida,Resultado Inferencia
-1.0786,0.0227,8.8945,-0.0043,0.0069,0.036,28.3682,Mov00,Mov00,0.996094
-1.081,0.0263,8.9004,-0.0043,0.0043,0.0357,28.3741,Mov00,Mov00,0.996094
-1.087,0.0227,8.8969,-0.0043,-0.0005,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0798,0.0251,8.8825,-0.0043,-0.0024,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0786,0.0251,8.8825,-0.0043,-0.0008,0.036,28.3682,Mov00,Mov00,0.996094
-1.0822,0.0168,8.8657,-0.0043,0.0011,0.036,28.3771,Mov00,Mov00,0.996094
-1.0786,0.0156,8.8729,-0.0045,0.0021,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0786,0.0108,8.8777,-0.0048,0.0,0.0357,28.3712,Mov00,Mov00,0.996094
-1.0846,0.0156,8.8909,-0.0048,-0.0008,0.0354,28.3682,Mov00,Mov00,0.996094
-1.087,0.0096,8.8921,-0.0045,0.0005,0.0354,28.3741,Mov00,Mov00,0.996094
-1.0834,0.0132,8.8873,-0.0045,0.0024,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0906,0.0108,8.8909,-0.0045,0.0032,0.0352,28.3712,Mov00,Mov00,0.996094
-1.0858,0.0132,8.8921,-0.0045,0.0024,0.0354,28.3741,Mov00,Mov00,0.996094
-1.0882,0.0084,8.9016,-0.0045,0.0,0.0354,28.3682,Mov00,Mov00,0.996094
-1.0798,0.0168,8.9016,-0.0048,-0.0024,0.0357,28.3653,Mov00,Mov00,0.996094
-1.0714,0.0204,8.8981,-0.0045,-0.0032,0.036,28.3682,Mov00,Mov00,0.996094
-1.0666,0.0168,8.9004,-0.0048,-0.0035,0.036,28.3682,Mov00,Mov00,0.996094
-1.0726,0.0144,8.8945,-0.0048,-0.0045,0.036,28.3682,Mov00,Mov00,0.996094
-1.0738,0.0108,8.8969,-0.0048,-0.0056,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0786,0.0156,8.8861,-0.0048,-0.0059,0.0354,28.3741,Mov00,Mov00,0.996094
-1.075,0.0084,8.8897,-0.0045,-0.0056,0.0354,28.3771,Mov00,Mov00,0.996094
-1.063,0.0096,8.8873,-0.0045,-0.0051,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0606,0.0144,8.8921,-0.0048,-0.0048,0.0352,28.3741,Mov00,Mov00,0.996094
-1.0642,0.0192,8.8825,-0.0045,-0.004,0.0352,28.3712,Mov00,Mov00,0.996094
-1.063,0.0192,8.8837,-0.0043,-0.0027,0.0357,28.3682,Mov00,Mov00,0.996094
-1.063,0.0192,8.8801,-0.0045,0.0,0.0357,28.3712,Mov00,Mov00,0.996094
-1.0714,0.0156,8.8777,-0.0045,0.0019,0.0357,28.3712,Mov00,Mov00,0.996094
-1.0618,0.018,8.8945,-0.0045,0.0019,0.0357,28.3624,Mov00,Mov00,0.996094
-1.0594,0.0156,8.8837,-0.0043,0.0021,0.0357,28.3653,Mov00,Mov00,0.996094
-1.0594,0.0144,8.8861,-0.0043,0.0037,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0654,0.0096,8.8813,-0.004,0.0056,0.0357,28.3682,Mov00,Mov00,0.996094
-1.0714,0.0048,8.8873,-0.004,0.0035,0.036,28.3712,Mov00,Mov00,0.996094
-1.0714,0.0132,8.8873,-0.0043,-0.0011,0.0354,28.3712,Mov00,Mov00,0.996094
-1.0726,0.0192,8.8837,-0.0043,-0.0019,0.0357,28.3741,Mov00,Mov00,0.996094
-1.0714,0.0168,8.8837,-0.0043,0.0013,0.0362,28.3771,Mov00,Mov00,0.996094
-1.0714,0.0215,8.8861,-0.004,0.0029,0.0362,28.3712,Mov00,Mov00,0.996094
-1.0762,0.0215,8.9028,-0.004,0.0005,0.0357,28.3712,Mov00,Mov00,0.996094
-1.0774,0.0132,8.8957,-0.004,-0.0032,0.0357,28.3624,Mov00,Mov00,0.996094
-1.0786,0.0144,8.8861,-0.004,-0.0045,0.0354,28.3624,Mov00,Mov00,0.996094
-1.075,0.0132,8.8885,-0.004,-0.0043,0.0352,28.3653,Mov00,Mov00,0.996094
-1.0714,0.0168,8.8861,-0.0043,-0.0037,0.0354,28.3682,Mov00,Mov00,0.996094
-1.0762,0.0192,8.8873,-0.0045,-0.004,0.0354,28.3653,Mov00,Mov00,0.996094
-1.0762,0.0204,8.8837,-0.0048,-0.0059,0.0352,28.3653,Mov00,Mov00,0.996094
-1.0606,0.012,8.8789,-0.0048,-0.0056,0.0354,28.3624,Mov00,Mov00,0.996094
-1.0654,0.006,8.8825,-0.0048,-0.0016,0.0352,28.3594,Mov00,Mov00,0.996094
-1.0642,0.0108,8.8921,-0.0048,0.0008,0.0352,28.3653,Mov00,Mov00,0.996094
-1.0726,0.0144,8.9016,-0.0051,0.0005,0.0352,28.3624,Mov00,Mov00,0.996094
-1.069,0.0096,8.9064,-0.0051,-0.0027,0.0352,28.3653,Mov00,Mov00,0.996094
-1.0654,0.0048,8.9004,-0.0051,-0.0053,0.0352,28.3594,Mov00,Mov00,0.996094
-1.063,0.0096,8.8981,-0.0048,-0.004,0.0349,28.3653,Mov00,Mov00,0.996094
-1.063,0.0132,8.8992,-0.0048,-0.0029,0.0352,28.3682,Mov00,Mov00,0.996094
-1.0582,0.0108,8.8849,-0.0048,-0.0027,0.0352,28.3624,Mov00,Mov00,0.996094
